subj,trialnum,gainonleft,g_time2frst,g_time,g_fixations,g_revisits,loss_time2frst,loss_time,loss_fixations,loss_revisits,risky,gain,loss,certain
9,15,1,0.46,1.888,4,2,0.787,0.848,2,1,0,20,0,10
9,2,0,1.051,0.896,3,1,0.444,0.896,3,2,0,25,0,10
9,5,1,0.444,1.36,5,2,0.065,0.8,3,3,0,30,0,10
9,4,0,0.838,1.328,7,5,0.542,1.968,7,5,0,35,0,10
9,11,1,0.494,0.976,4,3,0.642,0.784,4,2,0,40,0,10
9,17,0,0.827,1.504,5,3,0.409,1.424,4,3,0,25,5,15
9,6,1,0.444,1.232,3,2,0.773,0.384,2,1,1,33,5,15
9,25,0,0.821,0.976,3,1,0.394,1.568,4,2,1,40,5,15
9,7,1,0.46,1.616,6,3,0.824,1.44,4,3,1,48,5,15
9,1,0,0.888,1.248,2,1,0.428,0.688,2,1,1,55,5,15
9,3,1,0.444,0.96,4,2,0.838,0.624,2,1,0,30,10,20
9,9,0,0.724,0.688,3,2,0.459,1.248,4,2,0,40,10,20
9,21,1,0.457,1.68,5,4,0.867,1.088,4,3,1,50,10,20
9,19,0,0.755,1.856,3,1,0.492,0.592,2,1,1,60,10,20
9,16,1,0.505,1.392,5,3,0.767,0.576,2,1,1,70,10,20
9,18,0,0.788,1.568,4,3,0.524,1.104,4,3,0,35,15,25
9,22,1,0.476,1.504,6,2,1.001,0.752,4,2,1,48,15,25
9,8,0,0.839,0.624,4,3,0.412,1.072,4,3,0,60,15,25
9,13,1,0.492,1.056,3,1,0.805,0.72,3,1,1,73,15,25
9,20,0,0.904,0.864,3,2,0.492,1.312,3,2,1,85,15,25
9,10,1,0.444,1.136,3,2,0.888,0.864,3,2,0,40,20,30
9,24,0,0.74,1.824,7,5,0.494,1.664,6,5,0,55,20,30
9,14,1,0.428,1.776,7,3,0.838,1.344,5,2,1,70,20,30
9,23,0,0.92,0.832,4,2,0.461,0.96,4,2,1,85,20,30
9,12,1,0.527,0.912,3,2,0.262,0.944,4,3,1,100,20,30
10,15,1,0.297,0.88,2,1,0.674,0.576,2,1,0,20,0,10
10,2,0,0.46,1.008,3,2,0.756,0.944,3,2,0,25,0,10
10,5,1,0.427,1.264,4,3,0.738,1.456,5,3,0,30,0,10
10,4,0,0.837,0.864,2,1,0.41,0.816,3,2,0,35,0,10
10,11,1,0.952,0.464,3,2,0.525,0.88,3,2,0,40,0,10
10,17,0,0.807,0.88,3,1,0.377,1.12,5,2,0,25,5,15
10,6,1,0.395,1.216,5,3,0.757,1.2,3,2,0,33,5,15
10,25,0,0.524,1.232,4,1,1.001,0.784,2,0,1,40,5,15
10,7,1,0.312,0.768,3,1,0.723,0.464,1,0,0,48,5,15
10,1,0,0.839,2.048,2,1,0.56,0.48,2,1,1,55,5,15
10,3,1,0.361,0.8,4,1,0.755,0.816,2,1,0,30,10,20
10,9,0,0.724,0.608,2,1,0.444,0.928,3,2,0,40,10,20
10,21,1,0.396,0.896,3,1,0.756,0.56,2,0,1,50,10,20
